City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Umm Lajj,SA,75.27,clear sky,25.0213,37.2685,Moon light Furnished Units
2,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
14,Sibolga,ID,84.63,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
19,Harper,LR,79.09,broken clouds,4.375,-7.7169,Screensaver
20,Garissa,KE,79.59,moderate rain,-0.4536,39.6401,Sharif Plaza Hotel
22,Avarua,CK,82.4,overcast clouds,-21.2078,-159.775,Paradise Inn
26,Jhargram,IN,88.93,clear sky,22.45,86.9833,Sarada Hotel
31,Lethem,GY,76.5,moderate rain,3.3803,-59.7968,Savannah Inn
37,Butaritari,KI,78.31,moderate rain,3.0707,172.7902,Isles Sunset Lodge
40,Cayenne,GF,79.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Mitsamiouli,KM,82.08,overcast clouds,-11.3847,43.2844,Foyer ADM
45,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Atuona,PF,80.69,broken clouds,-9.8,-139.0333,Villa Enata
52,Rikitea,PF,78.28,light rain,-23.1203,-134.9692,Pension Maro'i
55,Saint George,US,80.6,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
62,Arraial Do Cabo,BR,75.33,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
67,Souillac,MU,75.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Bandarbeyla,SO,77.09,broken clouds,9.4942,50.8122,JABIR HOTEL
74,Kavieng,PG,84.13,broken clouds,-2.5744,150.7967,Nusa Island Retreat
75,Dzaoudzi,YT,82.4,moderate rain,-12.7887,45.2699,Le Rocher
76,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Sao Filipe,CV,75.24,clear sky,14.8961,-24.4956,Tortuga B&B
85,Manokwari,ID,81.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
