City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,74.43,61,13,6.82,few clouds
1,Umm Lajj,SA,25.0213,37.2685,75.27,45,0,1.66,clear sky
2,Grand Gaube,MU,-20.0064,57.6608,77.0,82,100,3.0,light rain
3,Meihekou,CN,42.5272,125.6753,55.49,15,1,14.5,clear sky
4,Jamestown,US,42.097,-79.2353,45.0,70,90,9.22,overcast clouds
5,Lavrentiya,RU,65.5833,-171.0,3.67,87,79,8.5,broken clouds
6,Albany,US,42.6001,-73.9662,48.99,34,20,13.8,few clouds
7,Tessalit,ML,20.1986,1.0114,78.33,13,12,6.44,few clouds
8,Lakes Entrance,AU,-37.8811,147.981,64.0,79,78,1.99,broken clouds
9,Tongchuan,CN,35.0806,109.0897,56.68,46,100,3.56,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.4,57,75,17.27,broken clouds
11,Cherskiy,RU,68.75,161.3,-3.62,88,33,5.86,scattered clouds
12,New Norfolk,AU,-42.7826,147.0587,68.0,41,10,2.13,clear sky
13,Arona,ES,28.0996,-16.681,64.4,63,40,5.75,scattered clouds
14,Sibolga,ID,1.7427,98.7792,84.63,66,100,2.39,overcast clouds
15,Tucurui,BR,-3.7661,-49.6725,74.16,95,100,2.46,light rain
16,Chokurdakh,RU,70.6333,147.9167,-8.09,83,26,1.7,scattered clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,19.57,snow
18,Port Alfred,ZA,-33.5906,26.891,62.87,79,100,1.41,overcast clouds
19,Harper,LR,4.375,-7.7169,79.09,88,69,3.58,broken clouds
20,Garissa,KE,-0.4536,39.6401,79.59,77,100,10.92,moderate rain
21,Ushuaia,AR,-54.8,-68.3,41.0,75,0,2.3,clear sky
22,Avarua,CK,-21.2078,-159.775,82.4,78,90,14.97,overcast clouds
23,Torbay,CA,47.6666,-52.7314,39.99,100,90,9.22,light rain
24,Hilo,US,19.7297,-155.09,69.8,88,90,9.22,mist
25,San Patricio,US,28.017,-97.5169,70.0,88,75,16.11,broken clouds
26,Jhargram,IN,22.45,86.9833,88.93,38,1,14.76,clear sky
27,Leninskoye,KZ,41.7589,69.3864,50.0,76,0,2.33,mist
28,Muroto,JP,33.2833,134.15,53.6,94,75,9.22,broken clouds
29,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.23,99,100,1.32,moderate rain
30,Talnakh,RU,69.4865,88.3972,26.87,95,100,8.9,snow
31,Lethem,GY,3.3803,-59.7968,76.5,87,100,8.79,moderate rain
